Expense ID,Date,Department,Category,Amount (INR),Payment Method,Approved,Budget Allocated,Budget Remaining
EXP0151,01-Jan-2025,Operations,Miscellaneous,77300,Bank Transfer,Yes,2000000,433000
EXP0086,03-Jan-2025,Admin,Office Supplies,144300,Bank Transfer,Yes,700000,-742600
EXP0097,04-Jan-2025,IT,Training,139800,UPI,Yes,3000000,1508700
EXP0122,09-Jan-2025,Sales,Training,42200,Bank Transfer,Yes,2500000,812000
EXP0066,13-Jan-2025,Marketing,Client Entertainment,145100,UPI,Yes,1800000,493400
EXP0101,14-Jan-2025,Sales,Equipment,26400,UPI,Yes,2500000,1225000
EXP0099,15-Jan-2025,HR,Client Entertainment,124200,UPI,Yes,900000,-401400
EXP0034,17-Jan-2025,Admin,Client Entertainment,14500,Bank Transfer,Yes,700000,308700
EXP0165,19-Jan-2025,Marketing,Client Entertainment,161100,UPI,Yes,1800000,-570600
EXP0169,19-Jan-2025,Finance,Office Supplies,44600,Cash,No,1200000,-660900
EXP0068,20-Jan-2025,Admin,Miscellaneous,42300,UPI,Yes,700000,-370300
EXP0063,21-Jan-2025,IT,Utilities,126700,Credit Card,Yes,3000000,1973700
EXP0074,23-Jan-2025,Operations,Equipment,1800,Cheque,Yes,2000000,1259000
EXP0129,24-Jan-2025,Sales,Training,129500,Bank Transfer,Yes,2500000,623100
EXP0059,27-Jan-2025,Sales,Equipment,153700,Credit Card,Yes,2500000,1362400
EXP0038,28-Jan-2025,Operations,Office Supplies,12600,Cash,Yes,2000000,1292000
EXP0132,03-Feb-2025,HR,Miscellaneous,15100,Credit Card,Yes,900000,-794600
EXP0048,05-Feb-2025,Finance,Office Supplies,125400,Bank Transfer,Yes,1200000,603100
EXP0054,05-Feb-2025,Marketing,Client Entertainment,53800,UPI,Yes,1800000,638500
EXP0070,05-Feb-2025,Admin,Training,65900,Cheque,Yes,700000,-436200
EXP0052,07-Feb-2025,Sales,Miscellaneous,115500,Cheque,No,2500000,1566100
EXP0053,07-Feb-2025,Finance,Utilities,94300,Bank Transfer,No,1200000,335800
EXP0028,13-Feb-2025,Operations,Miscellaneous,151200,Cheque,Yes,2000000,1561700
EXP0117,14-Feb-2025,IT,Miscellaneous,46200,UPI,Yes,3000000,1414700
EXP0150,15-Feb-2025,IT,Training,60800,UPI,No,3000000,490600
EXP0019,16-Feb-2025,Admin,Travel,159500,Bank Transfer,Yes,700000,465700
EXP0145,16-Feb-2025,Marketing,Travel,184900,Cash,Yes,1800000,-283200
EXP0170,16-Feb-2025,HR,Office Supplies,141000,Credit Card,Yes,900000,-1709800
EXP0042,17-Feb-2025,Admin,Utilities,32000,UPI,Yes,700000,127000
EXP0136,20-Feb-2025,Admin,Utilities,116300,Cash,Yes,700000,-1619700
EXP0002,22-Feb-2025,Operations,Office Supplies,109900,Credit Card,Yes,2000000,1890100
EXP0178,24-Feb-2025,Marketing,Equipment,106400,Cheque,Yes,1800000,-693000
EXP0039,25-Feb-2025,Marketing,Utilities,36400,UPI,Yes,1800000,1115300
EXP0108,28-Feb-2025,Admin,Software,178500,Credit Card,Yes,700000,-1154200
EXP0156,02-Mar-2025,Operations,Software,93000,Cash,Yes,2000000,340000
EXP0088,04-Mar-2025,HR,Software,148600,Cheque,No,900000,-99700
EXP0029,07-Mar-2025,Operations,Miscellaneous,175200,Bank Transfer,Yes,2000000,1386500
EXP0060,08-Mar-2025,Operations,Training,31200,UPI,Yes,2000000,1260800
EXP0159,11-Mar-2025,Admin,Office Supplies,52200,UPI,Yes,700000,-1788200
EXP0017,13-Mar-2025,Marketing,Training,138600,UPI,No,1800000,1411700
EXP0158,16-Mar-2025,HR,Utilities,170700,Cheque,Yes,900000,-1452300
EXP0141,18-Mar-2025,IT,Software,14600,Bank Transfer,Yes,3000000,861100
EXP0094,20-Mar-2025,Operations,Utilities,13300,UPI,Yes,2000000,1245700
EXP0057,21-Mar-2025,IT,Training,112500,Cash,Yes,3000000,2100400
EXP0137,22-Mar-2025,Marketing,Software,102800,Bank Transfer,Yes,1800000,-98300
EXP0005,23-Mar-2025,Operations,Equipment,63900,Bank Transfer,Yes,2000000,1826200
EXP0146,31-Mar-2025,HR,Miscellaneous,169600,Bank Transfer,No,900000,-1057500
EXP0024,02-Apr-2025,Finance,Office Supplies,161200,Cash,Yes,1200000,758000
EXP0173,03-Apr-2025,Marketing,Software,16000,UPI,Yes,1800000,-586600
EXP0040,04-Apr-2025,IT,Miscellaneous,47300,Credit Card,Yes,3000000,2466300
EXP0078,09-Apr-2025,HR,Equipment,125800,Bank Transfer,Yes,900000,303400
EXP0119,19-Apr-2025,IT,Training,64000,Cheque,Yes,3000000,1350700
EXP0003,22-Apr-2025,Marketing,Travel,104500,Cheque,Yes,1800000,1695500
EXP0107,22-Apr-2025,HR,Training,142200,Bank Transfer,Yes,900000,-583900
EXP0083,26-Apr-2025,Admin,Utilities,28500,Credit Card,Yes,700000,-598300
EXP0069,27-Apr-2025,Marketing,Travel,122600,UPI,Yes,1800000,370800
EXP0125,29-Apr-2025,Sales,Utilities,59400,Cheque,No,2500000,752600
EXP0065,02-May-2025,Admin,Software,180600,Bank Transfer,No,700000,-328000
EXP0092,03-May-2025,IT,Miscellaneous,15700,Cash,Yes,3000000,1675400
EXP0174,04-May-2025,HR,Software,44100,Cash,Yes,900000,-1800200
EXP0036,05-May-2025,Admin,Miscellaneous,149700,Bank Transfer,Yes,700000,159000
EXP0013,06-May-2025,Marketing,Miscellaneous,71100,Cheque,Yes,1800000,1624400
EXP0032,07-May-2025,Marketing,Office Supplies,63500,Cheque,Yes,1800000,1300400
EXP0091,07-May-2025,Admin,Training,142000,Cheque,Yes,700000,-884600
EXP0067,08-May-2025,IT,Software,146000,Credit Card,Yes,3000000,1827700
EXP0102,14-May-2025,HR,Client Entertainment,40300,Cash,Yes,900000,-441700
EXP0072,16-May-2025,Sales,Office Supplies,111000,Cash,Yes,2500000,1251400
EXP0167,16-May-2025,IT,Equipment,120700,Cash,No,3000000,231400
EXP0012,17-May-2025,Operations,Office Supplies,113300,Bank Transfer,Yes,2000000,1712900
EXP0157,20-May-2025,HR,Miscellaneous,181400,Bank Transfer,Yes,900000,-1281600
EXP0120,22-May-2025,Finance,Travel,96300,Bank Transfer,Yes,1200000,-261300
EXP0139,25-May-2025,Operations,Miscellaneous,14600,Bank Transfer,No,2000000,771700
EXP0010,29-May-2025,Sales,Utilities,160500,UPI,Yes,2500000,1977000
EXP0079,04-Jun-2025,HR,Travel,57300,Bank Transfer,Yes,900000,246100
EXP0027,07-Jun-2025,Marketing,Travel,45700,Cheque,No,1800000,1363900
EXP0109,09-Jun-2025,Finance,Equipment,74300,Bank Transfer,Yes,1200000,-42100
EXP0051,10-Jun-2025,Marketing,Training,74100,Cash,Yes,1800000,692300
EXP0073,10-Jun-2025,HR,Office Supplies,72200,Cheque,Yes,900000,504500
EXP0016,11-Jun-2025,Marketing,Miscellaneous,74100,UPI,Yes,1800000,1550300
EXP0014,16-Jun-2025,Admin,Travel,43500,Credit Card,Yes,700000,625200
EXP0148,20-Jun-2025,IT,Office Supplies,158900,Cash,Yes,3000000,702200
EXP0093,21-Jun-2025,IT,Office Supplies,26900,Bank Transfer,Yes,3000000,1648500
EXP0006,22-Jun-2025,Sales,Office Supplies,71200,Cash,Yes,2500000,2291200
EXP0113,24-Jun-2025,Sales,Equipment,152400,Credit Card,Yes,2500000,854200
EXP0131,24-Jun-2025,Marketing,Travel,47800,UPI,Yes,1800000,4500
EXP0162,26-Jun-2025,IT,Equipment,85100,Cash,No,3000000,352100
EXP0112,27-Jun-2025,Finance,Equipment,122900,Credit Card,Yes,1200000,-165000
EXP0128,04-Jul-2025,Marketing,Training,4100,Cheque,Yes,1800000,52300
EXP0009,05-Jul-2025,Finance,Utilities,130800,Credit Card,Yes,1200000,919200
EXP0114,05-Jul-2025,Operations,Miscellaneous,131300,UPI,Yes,2000000,955700
EXP0062,09-Jul-2025,Finance,Software,80400,Credit Card,Yes,1200000,233400
EXP0172,11-Jul-2025,HR,Software,46300,UPI,Yes,900000,-1756100
EXP0008,13-Jul-2025,Sales,Training,153700,Cheque,No,2500000,2137500
EXP0103,14-Jul-2025,IT,Equipment,47800,Credit Card,Yes,3000000,1460900
EXP0018,24-Jul-2025,IT,Utilities,184500,Bank Transfer,Yes,3000000,2639900
EXP0031,24-Jul-2025,Operations,Client Entertainment,81900,Cheque,Yes,2000000,1304600
EXP0015,25-Jul-2025,IT,Office Supplies,40200,Cheque,No,3000000,2824400
EXP0043,25-Jul-2025,Sales,Software,71000,UPI,Yes,2500000,1693600
EXP0121,28-Jul-2025,HR,Utilities,128200,UPI,Yes,900000,-779500
EXP0134,02-Aug-2025,Finance,Utilities,143800,UPI,Yes,1200000,-405100
EXP0061,07-Aug-2025,Finance,Travel,22000,Bank Transfer,Yes,1200000,313800
EXP0023,11-Aug-2025,Marketing,Miscellaneous,2100,Cash,No,1800000,1409600
EXP0147,12-Aug-2025,Operations,Miscellaneous,179300,UPI,Yes,2000000,510300
EXP0135,15-Aug-2025,IT,Equipment,57500,Cheque,Yes,3000000,875700
EXP0176,15-Aug-2025,IT,Training,118700,UPI,Yes,3000000,102800
EXP0004,18-Aug-2025,Finance,Training,150000,Credit Card,Yes,1200000,1050000
EXP0138,19-Aug-2025,Operations,Miscellaneous,54900,Bank Transfer,Yes,2000000,786300
EXP0044,21-Aug-2025,IT,Equipment,129300,Cheque,Yes,3000000,2337000
EXP0166,22-Aug-2025,Sales,Software,76700,Bank Transfer,Yes,2500000,303300
EXP0177,22-Aug-2025,Admin,Training,38100,UPI,No,700000,-1826300
EXP0095,27-Aug-2025,HR,Travel,39500,UPI,Yes,900000,-277200
EXP0116,27-Aug-2025,HR,Training,60600,Bank Transfer,Yes,900000,-644500
EXP0100,28-Aug-2025,Marketing,Travel,167900,Cheque,Yes,1800000,122300
EXP0164,31-Aug-2025,Operations,Equipment,72300,Bank Transfer,Yes,2000000,107400
